onset	duration	sample	value	event_code	user_answer	correct_answer
0	n/a	0	break cnt	break cnt	n/a	n/a
43.858	n/a	21929	symbolSearch_start	92	n/a	n/a
49.734	n/a	24867	newPage	20	n/a	n/a
53.864	n/a	26932	trialResponse	14	0	0
55.754	n/a	27877	trialResponse	14	1	1
58.298	n/a	29149	trialResponse	14	0	0
63.64	n/a	31820	trialResponse	14	0	0
67.186	n/a	33593	trialResponse	14	0	0
68.754	n/a	34377	trialResponse	14	1	1
71.576	n/a	35788	trialResponse	14	0	0
73.394	n/a	36697	trialResponse	14	1	1
76.368	n/a	38184	trialResponse	14	0	0
78.186	n/a	39093	trialResponse	14	0	0
81.488	n/a	40744	trialResponse	14	0	0
83.234	n/a	41617	trialResponse	14	1	1
84.668	n/a	42334	trialResponse	14	0	0
87.466	n/a	43733	trialResponse	14	1	1
88.722	n/a	44361	trialResponse	14	1	1
89.49	n/a	44745	newPage	20	n/a	n/a
93.186	n/a	46593	trialResponse	14	1	1
95.952	n/a	47976	trialResponse	14	0	1
98.666	n/a	49333	trialResponse	14	0	0
100.616	n/a	50308	trialResponse	14	1	1
106.098	n/a	53049	trialResponse	14	0	0
108.058	n/a	54029	trialResponse	14	1	1
112.306	n/a	56153	trialResponse	14	0	0
114.528	n/a	57264	trialResponse	14	1	1
117.722	n/a	58861	trialResponse	14	1	1
124.098	n/a	62049	trialResponse	14	0	0
127.21	n/a	63605	trialResponse	14	1	1
131.346	n/a	65673	trialResponse	14	0	0
132.94	n/a	66470	trialResponse	14	1	1
135.266	n/a	67633	trialResponse	14	1	1
137.786	n/a	68893	trialResponse	14	0	0
138.324	n/a	69162	newPage	20	n/a	n/a
143.33	n/a	71665	trialResponse	14	0	0
145.162	n/a	72581	trialResponse	14	1	1
147.21	n/a	73605	trialResponse	14	1	1
150.626	n/a	75313	trialResponse	14	0	0
153.922	n/a	76961	trialResponse	14	1	1
158.042	n/a	79021	trialResponse	14	0	0
159.89	n/a	79945	trialResponse	14	1	1
162.756	n/a	81378	trialResponse	14	0	0
164.97	n/a	82485	trialResponse	14	1	1
167.962	n/a	83981	trialResponse	14	0	0
171.8	n/a	85900	trialResponse	14	0	0
171.822	n/a	85911	newPage	20	n/a	n/a
176.399	n/a	88199.5	boundary	boundary	n/a	n/a
